id_mpio,entidad,mpio,clasificacion_2000,grado_idh_2005,idh_2000,clasificacion_2005,idh_2005,tasa_moralidad_infantil_2000,tasa_mortalidad_infantil_2005,tasa_alfabetizacion_2000,tasa_alfabetizacion_2005,tasa_asistencia_escolar_2000,tasa_asistencia_escolar_2005,usd_ppc_2000,usd_ppc_2005,indice_salud_2000,indice_salud_2005,indice_educacion_2000,indice_educacion_2005,indice_ingreso_2000,indice_ingreso_2005
20487,Oaxaca,Santiago Tenango,1404,medio,0.7003,1024,0.7703,30.12371,19.72384,92.82386,94.39868,58.67209,62.10826,2250.601783,4063.273762,0.7668557,0.8562489,0.8143994,0.8363521,0.5197031,0.6183086
30139,Veracruz,Saltabarranca,1290,medio,0.7094,1025,0.7702,28.63621,19.83781,75.57873,76.85558,61.72534,64.21108,4600.805164,7896.726784,0.7796416,0.8552693,0.7096093,0.7264075,0.6390452,0.7292096
26065,Sonora,Tubutama,592,medio,0.7646,1026,0.7702,27.34054,24.01966,93.98496,96.59751,59.14149,55.17241,5859.273901,5331.80147,0.7907788,0.8193237,0.8237047,0.8278915,0.6794016,0.6636565
31063,Yucatán,Samahil,1798,medio,0.6629,1027,0.7701,35.271,21.45281,81.9878,83.10727,58.07651,59.09091,2337.351782,7383.978469,0.7226117,0.8413875,0.7401737,0.7510182,0.5260156,0.7180043
31023,Yucatán,Chocholá,1417,medio,0.6996,1028,0.7699,30.94403,19.04861,81.21345,85.51613,60.6638,67.60744,3543.327338,4980.124125,0.7598044,0.8620526,0.7436357,0.7954656,0.5954556,0.6522679
20471,Oaxaca,Santiago Lalopa,1936,medio,0.6464,1029,0.7699,33.70195,18.53378,80.96676,89.77273,52.63158,69.93464,1862.23067,3904.920423,0.7360985,0.8664781,0.7152171,0.8316003,0.4880877,0.6116739
20073,Oaxaca,Putla Villa de Guerrero,1227,medio,0.7142,1030,0.7698,29.19302,18.43892,80.39317,81.01307,66.17792,69.90421,3899.369319,5515.143877,0.7748553,0.8672933,0.7565475,0.7731012,0.6114365,0.6692992
28023,Tamaulipas,Méndez,841,medio,0.7455,1031,0.7698,31.97944,23.59176,90.87549,92.26361,61.8466,58.27002,5662.656085,5782.658225,0.7509046,0.8230017,0.811992,0.8093241,0.6737047,0.6772048
21102,Puebla,Nealtican,964,medio,0.7348,1032,0.7698,26.38312,20.45234,87.47588,90.89131,55.75016,60.53097,4535.684298,4966.937538,0.7990084,0.849987,0.7690064,0.807712,0.6366659,0.6518254
32009,Zacatecas,Chalchihuites,624,medio,0.7624,1033,0.7697,30.10483,23.50196,90.10099,90.99875,62.40129,67.1,7106.825391,5065.057281,0.7670181,0.8237738,0.8086776,0.830325,0.7116191,0.6550903
16004,Michoacán,Angamacutiro,1029,medio,0.7303,1034,0.7696,27.11007,18.12883,86.65838,87.51625,50.36402,57.13984,4995.802212,5378.263035,0.79276,0.869959,0.7456026,0.7739078,0.6527925,0.6651046
32004,Zacatecas,Benito Juárez,987,medio,0.7328,1035,0.7696,27.50484,23.27903,90.05979,90.34749,58.83306,65.58785,3931.888679,5289.268383,0.7893662,0.8256899,0.7965088,0.8209428,0.6128226,0.6623197
12007,Guerrero,Arcelia,1147,medio,0.7204,1036,0.7696,28.58556,22.08155,79.73669,80.95168,61.28543,67.01344,4775.997765,7031.576236,0.780077,0.8359828,0.7358627,0.763056,0.6452826,0.7098424
30158,Veracruz,Tecolutla,1334,medio,0.7059,1037,0.7695,32.68745,22.35469,84.5708,85.6438,63.1764,69.0289,3610.366342,5670.097174,0.744819,0.8336353,0.7743933,0.801055,0.5985839,0.6739239
06006,Colima,Ixtlahuacán,1171,medio,0.7185,1038,0.7695,29.10788,27.83588,86.97515,87.8724,56.57957,65.31196,3903.821316,7406.067148,0.7755874,0.7865207,0.7684329,0.8035226,0.6116269,0.7185029
07055,Chiapas,Metapa,1178,medio,0.7180,1039,0.7695,28.21997,17.50109,82.21265,81.0675,64.75949,67.92161,3798.530875,5417.693691,0.7832192,0.8753544,0.7639493,0.7668554,0.6070635,0.6663238
21151,Puebla,Santo Tomás Hueyotlipan,881,medio,0.7426,1040,0.7694,27.26551,19.29188,90.9048,92.1015,63.73554,67.42986,4058.517508,3855.881231,0.7914238,0.8599617,0.8184838,0.8387762,0.6181131,0.6095646
